		RadSolar1	RadSolar2	RadSolar3	RadSolarReflejada	Humedad	Temperatura	Albedo	Luvia Total	Direccion Viento	Pressure	Velocidad Viento
[%Y-%m-%d]	[%H:%M:%S]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[%]	[°c]	[W/m2]	[mm]	[°]	[mbar]	[m/s]
2024-05-10	09:48:00	658.033	671.714	673.399	88.074	73.919	17.325	585.325	0	219.3	754.06	3.9
2024-05-10	09:49:00	736.498	752.226	754.709	98.146	75.184	17.338	656.563	0	225.6	754.08	3.3
2024-05-10	09:50:00	817.272	831.766	830.691	107.247	74.604	17.368	723.444	0	214.9	754.12	2.4
2024-05-10	09:51:00	770.392	785.836	787.449	102.541	72.715	17.45	684.909	0	175.5	754.02	2.6
2024-05-10	09:52:00	896.006	912.273	911.809	117.649	72.719	17.549	794.16	0	165	754.12	2
2024-05-10	09:53:00	784.369	799.397	800.018	103.783	73.786	17.667	696.234	0	184.1	754.01	1.8
2024-05-10	09:54:00	819.309	834.093	833.485	107.38	74.76	17.822	726.105	0	207.5	754.03	2.1
2024-05-10	09:55:00	872.41	888.722	890.582	114.954	73.798	17.934	775.628	0	204.7	754.09	2.4
2024-05-10	09:56:00	1098.69	1116.854	1113.728	143.509	72.233	18.003	970.219	0	211	754.01	2.7
2024-05-10	09:57:00	965.32	981.272	981.037	126.023	70.797	18.174	855.013	0	199.2	753.95	2.3
2024-05-10	09:58:00	877.247	894	891.475	114.885	72.536	18.332	776.589	0	232.8	753.97	2
2024-05-10	09:59:00	803.906	820.549	819.538	106.609	68.776	18.374	712.928	0	215.8	753.91	2.6
2024-05-10	10:00:00	870.101	886.135	880.728	114.427	67.569	18.26	766.3	0	233.9	753.95	2.9
2024-05-10	10:01:00	1082.09	1101.686	1099.625	141.716	68.32	18.089	957.91	0	249.5	753.95	2.2
2024-05-10	10:02:00	862.831	877.323	876.239	113.228	69.747	18.075	763.011	0	211.5	753.92	2.4
2024-05-10	10:03:00	1045.746	1063.86	1057.807	137.051	69.417	18.276	920.757	0	222.5	753.79	2.9
2024-05-10	10:04:00	1032.183	1049.546	1045.793	135.812	70.191	18.345	909.981	0	232.9	753.86	2.9
2024-05-10	10:05:00	1010.506	1028.882	1027.706	132.68	66.224	18.246	895.026	0	246.5	753.84	2.8
2024-05-10	10:06:00	997.415	1014.189	1013.705	130.795	67.701	18.233	882.91	0	259.1	753.8	1.6
2024-05-10	10:07:00	898.039	911.839	911.59	117.402	67.028	18.289	794.188	0	238.4	753.79	0.7
2024-05-10	10:08:00	876.807	890.966	888.35	114.46	65.242	18.332	773.889	0	321.1	753.79	0.8
2024-05-10	10:09:00	904.881	921.065	921.215	119.193	66.1	18.487	802.022	0	337.3	753.88	1.7
2024-05-10	10:10:00	1136.017	1153.565	1148.534	149.121	68.96	18.671	999.413	0	318.1	753.82	1.2
2024-05-10	10:11:00	1488.002	1509.377	1509.13	196.471	66.456	18.812	1312.659	0	316.9	753.82	1.4
2024-05-10	10:12:00	1091.722	1106.208	1097.096	141.313	67.487	18.967	955.783	0	299.9	753.72	0.4
2024-05-10	10:13:00	1235.072	1256.073	1255.947	161.666	65.439	19.48	1094.281	0	184.1	753.73	1.5
2024-05-10	10:14:00	1153.576	1171.366	1164.592	150.617	69.111	19.662	1013.975	0	226.8	753.73	3.6
2024-05-10	10:15:00	1053.111	1070.666	1058.669	136.917	64.246	19.464	921.751	0	215.3	753.7	2.6
2024-05-10	10:16:00	930.701	950.31	945.471	122.65	66.488	19.322	822.821	0	226.6	753.55	4.1
2024-05-10	10:17:00	939.993	960.031	956.409	124.724	67.762	19.224	831.685	0	235	753.58	3.3
2024-05-10	10:18:00	947.998	963.173	957.356	125.821	65.537	19.095	831.535	0	218.2	753.59	5.1
2024-05-10	10:19:00	749.026	764.018	762.035	99.88	66.804	18.941	662.155	0	237.6	753.61	3.2
2024-05-10	10:20:00	832.402	845.944	847.214	110.057	65.394	18.997	737.158	0	231.4	753.66	1.3
2024-05-10	10:21:00	874.935	884.374	882.572	113.674	67.684	19.109	768.898	0	190.3	753.51	3.3
2024-05-10	10:22:00	703.262	715.514	711.187	93.284	64.789	19.336	617.903	0	147.4	753.6	3.9
2024-05-10	10:23:00	674.78	686.697	683.15	89.463	65.325	19.419	593.687	0	179.5	753.53	3.5
2024-05-10	10:24:00	676.355	687.924	684.383	88.625	65.705	19.48	595.758	0	141.1	753.55	2.9
2024-05-10	10:25:00	579.192	588.078	585.515	76.21	64.338	19.776	509.305	0	110.1	753.6	2.4
2024-05-10	10:26:00	533.597	542.433	540.678	70.515	63.077	19.816	470.163	0	118.5	753.5	2.4
2024-05-10	10:27:00	519.234	529.07	527.056	68.887	63.476	20.059	458.168	0	172.9	753.51	3.1
2024-05-10	10:28:00	515.691	526.83	524.238	68.823	62.88	19.776	455.415	0	206.3	753.61	2.8
