		RadSolar1	RadSolar2	RadSolar3	RadSolarReflejada	Humedad	Temperatura	Albedo	Luvia Total	Direccion Viento	Pressure	Velocidad Viento
[%Y-%m-%d]	[%H:%M:%S]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[%]	[°c]	[W/m2]	[mm]	[°]	[mbar]	[m/s]
2024-05-05	09:53:00	465.288	474.767	477.128	53.263	70.37	17.549	423.865	0	85.9	754.06	4.8
2024-05-05	09:54:00	476.659	486.052	488.509	54.394	69.346	17.637	434.116	0	74.6	753.97	3.9
2024-05-05	09:55:00	469.073	478.049	480.6	53.59	68.914	17.667	427.01	0	61.5	753.94	4.8
2024-05-05	09:56:00	465.213	474.95	476.179	53.682	67.716	17.608	422.497	0	74.7	753.83	7.5
2024-05-05	09:57:00	464.653	474.62	476.17	53.247	70.28	17.579	422.922	0	70.7	753.97	3.8
2024-05-05	09:58:00	474.731	484.937	485.937	54.372	68.883	17.608	431.566	0	53.7	753.89	6.8
2024-05-05	09:59:00	478.934	489.394	490.661	54.624	69.958	17.667	436.037	0	67.2	753.93	2.9
2024-05-05	10:00:00	499.446	511.971	512.088	56.764	68.374	17.723	455.323	0	84.3	753.86	5.5
2024-05-05	10:01:00	514.049	523.659	524.962	58.052	69.463	17.792	466.91	0	81.7	753.93	4.4
2024-05-05	10:02:00	519.527	530.222	531.25	58.675	69.138	17.806	472.575	0	82.4	753.88	5.4
2024-05-05	10:03:00	482.462	493.794	494.364	54.992	68.764	17.864	439.372	0	72.3	753.91	5
2024-05-05	10:04:00	471.665	482.383	483.215	53.698	68.561	17.904	429.517	0	59.6	753.89	4.6
2024-05-05	10:05:00	501.642	511.066	511.74	56.612	67.304	17.835	455.128	0	82.4	753.81	3.7
2024-05-05	10:06:00	486.77	497.897	498.335	55.087	69.698	17.977	443.248	0	80.9	753.87	4.6
2024-05-05	10:07:00	514.993	527.963	527.304	57.436	68.934	18.046	469.868	0	76.3	753.86	2.8
2024-05-05	10:08:00	525.863	536.37	536.985	58.915	66.521	18.118	478.07	0	90.1	753.85	4.1
2024-05-05	10:09:00	526.814	537.603	538.368	59.117	67.048	18.145	479.251	0	70.4	753.9	4.1
2024-05-05	10:10:00	517.34	528	528.505	57.706	69.46	18.187	470.799	0	82.9	753.91	3.9
2024-05-05	10:11:00	510.508	522.161	520.782	57.698	64.972	18.075	463.084	0	88.1	753.83	7
2024-05-05	10:12:00	504.472	515.791	514.602	57.094	65.32	18.033	457.508	0	44.8	753.66	7.2
2024-05-05	10:13:00	502.904	514.589	512.767	56.958	65.27	17.947	455.809	0	55.6	753.83	7.5
2024-05-05	10:14:00	532.543	543.928	542.834	59.295	66.625	17.947	483.539	0	78.5	753.84	5.8
2024-05-05	10:15:00	514.221	526.177	524.525	57.929	65.98	17.947	466.596	0	54.2	753.69	8.6
2024-05-05	10:16:00	502.693	514.307	512.852	56.717	66.538	17.92	456.136	0	75.2	753.86	5.4
2024-05-05	10:17:00	470.913	482.008	480.859	53.08	66.478	17.947	427.78	0	75.2	753.9	3.8
2024-05-05	10:18:00	451.491	462.249	461.163	51.187	66.776	17.99	409.975	0	56.3	753.89	5
