		RadSolar1	RadSolar2	RadSolar3	RadSolarReflejada	Humedad	Temperatura	Albedo	Luvia Total	Direccion Viento	Pressure	Velocidad Viento
[%Y-%m-%d]	[%H:%M:%S]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[%]	[°c]	[W/m2]	[mm]	[°]	[mbar]	[m/s]
2024-05-24	10:42:00	588.282	600.765	592.425	67.953	57.08	19.095	524.473	0	78.7	754.63	5.2
2024-05-24	10:43:00	594.132	609.705	606.398	68.877	57.264	19.066	537.521	0	59.4	754.68	4.2
2024-05-24	10:44:00	852.858	876.36	883.945	98.218	59.035	19.151	785.727	0	97.9	754.63	3.1
2024-05-24	10:45:00	872.425	883.701	876.206	99.664	58.41	19.28	776.542	0	96.5	754.65	3.3
2024-05-24	10:46:00	579.681	595.314	591.921	68.537	55.556	19.378	523.385	0	69.9	754.74	4.3
2024-05-24	10:47:00	1469.032	1489.743	1482.966	170.009	56.65	19.392	1312.957	0	89.9	754.64	5
2024-05-24	10:48:00	826.442	856.197	863.974	95.927	61.458	19.549	768.047	0	83.6	754.73	1.7
2024-05-24	10:49:00	437.408	450.93	447.72	51.923	58.492	19.872	395.797	0	80.8	754.77	3.6
2024-05-24	10:50:00	427.626	441.023	437.565	50.98	57.558	19.747	386.585	0	66.7	754.71	3.1
2024-05-24	10:51:00	416.889	429.192	426.079	50.002	57.874	19.704	376.077	0	80.9	754.77	3.5
2024-05-24	10:52:00	422.316	433.94	430.653	51.065	58.629	19.605	379.588	0	65.7	754.61	3.1
2024-05-24	10:53:00	453.119	465.478	460.64	56.098	55.306	19.437	404.543	0	87.1	754.65	5.1
2024-05-24	10:54:00	635.432	646.12	643.58	74.915	58.048	19.28	568.665	0	90.7	754.71	4.6
2024-05-24	10:55:00	495.876	509.502	504.837	60.535	57.256	19.237	444.302	0	89.3	754.63	5.5
2024-05-24	10:56:00	541.499	553.82	549.562	65.322	57.457	19.138	484.24	0	76.3	754.7	4.7
2024-05-24	10:57:00	607.864	626.153	621.153	72.558	59.612	19.138	548.596	0	80.9	754.74	3.6
2024-05-24	10:58:00	544.246	557.054	553.773	65.196	60.889	19.392	488.577	0	91.7	754.7	2.4
2024-05-24	10:59:00	496.749	508.207	505.438	59.999	56.343	19.378	445.439	0	104.4	754.73	2.2
2024-05-24	11:00:00	489.437	501.074	497.835	59.244	59.003	19.451	438.591	0	101.2	754.69	3.3
2024-05-24	11:01:00	488.012	499.812	497.196	59.176	54.618	19.451	438.02	0	83.1	754.68	4
2024-05-24	11:02:00	493.639	505.993	503.362	60.619	56.139	19.362	442.743	0	113.4	754.68	3.5
2024-05-24	11:03:00	577.727	594.446	595.588	69.536	57.563	19.336	526.052	0	87.9	754.65	4.1
2024-05-24	11:04:00	525.015	537.592	533.617	63.596	55.345	19.306	470.021	0	68.2	754.59	3.6
2024-05-24	11:05:00	499.352	513.027	509.911	60.612	55.291	19.392	449.299	0	89.8	754.62	4.1
