		RadSolar1	RadSolar2	RadSolar3	RadSolarReflejada	Humedad	Temperatura	Albedo	Luvia Total	Direccion Viento	Pressure	Velocidad Viento
[%Y-%m-%d]	[%H:%M:%S]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[%]	[°c]	[W/m2]	[mm]	[°]	[mbar]	[m/s]
2024-05-09	09:49:00	291.258	299.202	295.385	34.989	89.777	16.318	260.396	0	224.1	754.06	3.3
2024-05-09	09:50:00	309.836	316.248	312.519	37.583	87.895	16.246	274.936	0	208.6	754.05	4
2024-05-09	09:51:00	366.573	372.484	370.418	44.098	89.346	16.246	326.321	0	200.2	753.95	2.7
2024-05-09	09:52:00	444.194	450.083	447.284	52.817	90.188	16.332	394.467	0	205	753.92	2.6
2024-05-09	09:53:00	594.073	601.782	601.488	69.745	89.04	16.361	531.743	0	221.6	753.96	3.5
2024-05-09	09:54:00	777.296	781.086	791.486	91.034	88.441	16.433	700.452	0	232.1	753.92	2.7
2024-05-09	09:55:00	547.268	559.827	552.388	63.855	88.691	16.519	488.533	0	230.3	753.94	3.7
2024-05-09	09:56:00	469.048	481.316	474.039	55.914	87.849	16.519	418.125	0	235.4	753.87	3.8
2024-05-09	09:57:00	470.505	481.062	474.685	56.377	87.707	16.505	418.307	0	231.6	753.85	3.1
2024-05-09	09:58:00	516.251	525.485	523.515	61.417	87.1	16.575	462.098	0	203.7	753.94	3.4
2024-05-09	09:59:00	562.203	573.026	573.602	66.974	87.331	16.644	506.628	0	208.7	753.91	3.5
2024-05-09	10:00:00	414.15	424.177	419.771	50.181	88.087	16.772	369.59	0	221.2	753.86	3.5
2024-05-09	10:01:00	414.216	423.481	419.273	50.574	87.791	16.786	368.699	0	215.9	753.93	3.4
2024-05-09	10:02:00	384.112	392.239	388.365	47.674	86.773	16.66	340.691	0	214.8	753.86	4.7
2024-05-09	10:03:00	433.665	441.477	444.277	53.379	87.359	16.617	390.898	0	228.3	753.85	3.9
2024-05-09	10:04:00	492.754	503.197	497.468	57.54	89.553	16.743	439.928	0	248.5	753.91	2.5
2024-05-09	10:05:00	380.274	388.248	385.738	45.848	88.377	16.743	339.889	0	253.1	753.92	1.7
2024-05-09	10:06:00	355.255	364.246	359.671	43.434	88.274	16.673	316.237	0	228.2	753.86	2.7
2024-05-09	10:07:00	328.016	337.181	330.957	41.297	87.025	16.575	289.66	0	227.3	753.82	4.4
2024-05-09	10:08:00	346.567	355.878	351.853	43.095	87.739	16.631	308.757	0	203.4	753.87	2.8
2024-05-09	10:09:00	325.398	332.705	328.233	40.405	90.011	16.884	287.829	0	146.1	753.89	2.1
2024-05-09	10:10:00	304.733	312.722	308.564	38.583	85.896	16.956	269.981	0	207	753.8	2.9
2024-05-09	10:11:00	316.094	322.646	319.808	40.15	85.36	16.986	279.658	0	192.3	753.81	2.3
2024-05-09	10:12:00	347.091	352.524	350.024	44.143	86.486	17.098	305.881	0	180.4	753.87	1.9
2024-05-09	10:13:00	398.121	403.371	402.673	50.46	83.515	17.141	352.212	0	207.7	753.83	2.9
2024-05-09	10:14:00	458.73	463.42	463.11	56.923	83.349	17.071	406.187	0	161.6	753.84	1.8
2024-05-09	10:15:00	491.446	496.778	497.949	60.399	83.053	17.127	437.549	0	189.8	753.87	1.5
2024-05-09	10:16:00	474.125	481.792	480.634	58.486	82.645	17.127	422.148	0	141	753.84	1.2
2024-05-09	10:17:00	485.514	492.695	491.549	60.012	81.898	17.24	431.538	0	155.3	753.88	2
2024-05-09	10:18:00	554.634	561.301	565.284	68.184	83.326	17.325	497.1	0	104.7	753.84	1.8
2024-05-09	10:19:00	698.514	705.59	715.794	85.713	79.281	17.595	630.081	0	97.8	753.7	6.6
2024-05-09	10:20:00	677.906	685.523	690.442	82.536	81.193	17.595	607.906	0	49.8	753.85	3.1
2024-05-09	10:21:00	815.808	818.304	844.135	99.591	78.054	17.736	744.544	0	79.4	753.74	4.2
2024-05-09	10:22:00	873.709	886.447	882.786	104.141	73.922	18.033	778.644	0	81.2	753.71	4.5
2024-05-09	10:23:00	573.523	582.898	580.254	70.699	78.384	18.233	509.554	0	102.3	753.83	4
2024-05-09	10:24:00	536.52	544.2	540.527	66.467	79.439	18.276	474.059	0	93.2	753.78	2.1
2024-05-09	10:25:00	531.265	538.602	534.11	66.431	72.614	18.289	467.679	0	82.7	753.75	6.1
2024-05-09	10:26:00	535.278	542.587	538.83	67.563	70.429	18.22	471.266	0	72.8	753.77	4.4
2024-05-09	10:27:00	551.017	558.521	556.189	69.475	70.278	18.131	486.714	0	70.1	753.76	2
2024-05-09	10:28:00	572.178	579.915	578.949	71.354	75.106	18.246	507.595	0	66	753.78	1.9
2024-05-09	10:29:00	534.751	543.096	540.298	67.411	70.539	18.401	472.887	0	38	753.7	3.6
2024-05-09	10:30:00	514.111	522.201	518.951	64.972	72.069	18.444	453.979	0	49	753.75	2.9
2024-05-09	10:31:00	475.189	483.712	480.368	60.489	70.969	18.556	419.879	0	80.5	753.61	3.1
2024-05-09	10:32:00	459.679	468.336	465.39	58.701	70.337	18.628	406.69	0	88.8	753.64	5.1
2024-05-09	10:33:00	454.724	463.291	461.089	58.148	69.167	18.487	402.94	0	77.2	753.61	3.5
2024-05-09	10:34:00	490.096	498.247	497.93	62.4	69.094	18.401	435.53	0	86.4	753.59	4.5
2024-05-09	10:35:00	553.28	561.157	564.167	69.8	67.042	18.374	494.366	0	75.8	753.56	5.1
2024-05-09	10:36:00	534.236	542.413	542.957	66.865	69.985	18.43	476.092	0	73.6	753.57	4.8
2024-05-09	10:37:00	548.466	555.328	560.387	68.853	67.481	18.556	491.533	0	101.9	753.56	4.9
2024-05-09	10:38:00	647.444	656.094	661.322	79.813	66.984	18.5	581.508	0	87.1	753.58	3.2
2024-05-09	10:39:00	666.89	673.266	682.701	82.209	68.545	18.5	600.493	0	88	753.58	2.7
2024-05-09	10:40:00	703.814	713.4	718.738	86.331	69.767	18.543	632.408	0	96.6	753.51	1.3
2024-05-09	10:41:00	640.608	649.13	651.924	79.208	66.9	18.671	572.716	0	49.9	753.56	3.4
2024-05-09	10:42:00	557.883	566.434	565.546	69.21	66.446	18.698	496.337	0	44.4	753.48	4.3
2024-05-09	10:43:00	481.498	488.275	488.124	60.603	66.961	18.671	427.522	0	77.3	753.53	2.7
